reaction_id,reactants,products,rate_constant,reaction_family,reaction_phase,publication_string,publication_doi,underlying_data_publication_string,underlying_data_publication_doi,Notes
R132,LIM+O3,0.66000*HO+0.66000*LIMAL+0.33000*ACO3+0.33000*HCHO+0.22000*LIMP1+0.11000*LIMP2+0.33000*H2O2+0.01000*ORA2,2.8000E-15*exp(-7.7000E+02/T),CRACMM3,gas,Skipper et al. 2024,https://doi.org/10.5194/acp-24-12903-2024,Schwantes et al. 2020,https://doi.org/10.5194/acp-20-3739-2020,Reactions and products in the LIM system have been updated based on limonene chemistry in the MOZART-TS2 mechanism developed by Schwantes et al. (2020). CRACMM3 update: Replace RCO3 with LIMP1 and LIMP2 to keep in monoterpene family.
TRP08,LIMAL+O3,0.09000*HO+ALD+0.62000*HCHO+0.23000*OP1+0.02000*H2O2+0.15000*ORA1,8.3000E-18,CRACMM2,gas,Skipper et al. 2024,https://doi.org/10.5194/acp-24-12903-2024,Schwantes et al. 2020,https://doi.org/10.5194/acp-20-3739-2020,Reactions and products in the LIM system have been updated based on limonene chemistry in the MOZART-TS2 mechanism developed by Schwantes et al. (2020).
TRP09,VTRPN+O3,0.33000*VHONIT+0.67000*NO2+0.27000*PINAL+0.38000*KET+0.21000*HCHO+0.02000*ALD,1.6700E-16,CRACMM2,gas,Skipper et al. 2024,https://doi.org/10.5194/acp-24-12903-2024,Fisher et al. 2016,https://doi.org/10.5194/acp-16-5969-2016,"Oxidation of TRPN assumes 1/3 is unsaturated and retains the nitrate group upon oxidation to from HONIT while the remaining 2/3 is saturated and releases the nitrate group to form NO2 and other products. The 1/3 to 2/3 split is based on Fisher et al. (2016). The coefficients of other products are based on products from alpha-pinene and beta-pinene derived nitrates in MCM with a 65/35 weighting as described in Note 1 above. From MCM products, we find a 62% yield of PINAL and a 38% yield of a ketone (KET) for alpha-pinene and a 92% yield of a ketone (KET) + HCHO and an 8% yield of an aldehyde (ALD) for beta-pinene. CRACMM3 update: VTRPN name updated."
R133,MACR+O3,0.19000*HO+0.14000*HO2+0.10000*ACO3+0.22000*CO+0.50000*MGLY+0.45000*ORA1,1.3600E-15*exp(-2.1120E+03/T),RACM2,gas,Goliff et al. 2013,https://doi.org/10.1016/j.atmosenv.2012.11.038,NA,NA,NA
R134,MVK+O3,0.16000*HO+0.11000*HO2+0.28000*ACO3+0.01000*XO2+0.56000*CO+0.10000*HCHO+0.54000*MGLY+0.07000*ORA1+0.07000*ORA2+0.10000*ALD,8.5000E-16*exp(-1.5200E+03/T),RACM2,gas,Goliff et al. 2013,https://doi.org/10.1016/j.atmosenv.2012.11.038,NA,NA,NA
R135,UALD+O3,0.10000*HO+0.07200*HO2+0.00800*MO2+0.00200*ACO3+0.10000*XO2+0.24300*CO+0.08000*HCHO+0.42000*ACD+0.02800*KET+0.49100*GLY+0.00300*MGLY+0.04400*ORA1,1.6600E-18,RACM2,gas,Goliff et al. 2013,https://doi.org/10.1016/j.atmosenv.2012.11.038,NA,NA,NA
R136,DCB1+O3,0.05000*HO+HO2+0.60000*RCO3+0.60000*XO2+1.50000*CO+0.50000*CO2+0.05000*HCHO+0.05000*GLY+0.08000*MGLY+0.65000*OP2,2.0000E-16,CRACMM3,gas,Goliff et al. 2013,https://doi.org/10.1016/j.atmosenv.2012.11.038,NA,NA,Added CO2 product from original RACM2 reference.
R137,DCB2+O3,0.05000*HO+HO2+0.60000*RCO3+0.60000*XO2+1.50000*CO+0.50000*CO2+0.05000*HCHO+0.05000*GLY+0.08000*MGLY+0.70000*DCB1+0.65000*OP2,2.0000E-16,CRACMM3,gas,Goliff et al. 2013,https://doi.org/10.1016/j.atmosenv.2012.11.038,NA,NA,Added CO2 product from original RACM2 reference.
R138,DCB3+O3,0.05000*HO+HO2+1.50000*CO+0.50000*CO2+0.48000*GLY+0.70000*DCB1+0.25000*ORA1+0.25000*ORA2+0.11000*PAA,9.0000E-17,CRACMM3,gas,Goliff et al. 2013,https://doi.org/10.1016/j.atmosenv.2012.11.038,NA,NA,Added CO2 product from original RACM2 reference.
R140,MCTO+O3,MCTP,2.8600E-13,RACM2,gas,Goliff et al. 2013,https://doi.org/10.1016/j.atmosenv.2012.11.038,NA,NA,NA
